,dataset,model,layer,roi,subject,rsa,cka,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka
0,TVSD,MODEL_A,layer1-0,V1,monkeyF,0.1079588722271911,0.3311481649353862,0.58550454,0.06031375,0.27681128,0.00293855,0.29180545,0.53624626
1,TVSD,MODEL_A,layer1-0,V1,monkeyN,0.1009094917711095,0.3512152476190358,0.6062146,0.06147682,0.31743172,0.00326683,0.2502245,0.58582251
2,TVSD,MODEL_A,layer1-0,V4,monkeyF,0.0697340208342657,0.1503361732635464,0.45477777,0.04638038,0.17398773,0.00180911,0.28186917,0.34160528
3,TVSD,MODEL_A,layer1-0,V4,monkeyN,0.1011583191303602,0.211162485498816,0.44761885,0.04573671,0.17711123,0.00184857,0.26241536,0.35107023
4,TVSD,MODEL_A,layer1-0,IT,monkeyF,0.0705188881123735,0.1411867710745419,0.37300527,0.03865096,0.12555207,0.00134539,0.22772803,0.18880403
5,TVSD,MODEL_A,layer1-0,IT,monkeyN,0.0423289815904454,0.0533053018474991,0.38084213,0.0389822,0.11667938,0.00122211,0.22435135,0.13181497
6,TVSD,MODEL_A,layer2-0,V1,monkeyF,0.1892088889431731,0.3472178399888161,0.68749524,0.07077706,0.45045404,0.00476819,0.5091338,0.70475465
7,TVSD,MODEL_A,layer2-0,V1,monkeyN,0.1898177312321069,0.3767263081256878,0.73513738,0.07452188,0.51567227,0.00529877,0.48016954,0.76380467
8,TVSD,MODEL_A,layer2-0,V4,monkeyF,0.1341829540807987,0.1782781792515991,0.49486892,0.05044491,0.19455,0.00202252,0.2725274,0.3739008
9,TVSD,MODEL_A,layer2-0,V4,monkeyN,0.1963011074292809,0.2605206612854536,0.61253674,0.06257439,0.36656214,0.00381858,0.48084803,0.58435739
10,TVSD,MODEL_A,layer2-0,IT,monkeyF,0.1622908227120883,0.1689720674823778,0.50188892,0.05200433,0.25677911,0.0027517,0.37773872,0.36631192
11,TVSD,MODEL_A,layer2-0,IT,monkeyN,0.1135473592701583,0.071840436023758,0.39681965,0.04055864,0.12356581,0.00129022,0.21605984,0.18288132
12,TVSD,MODEL_A,layer3-0,V1,monkeyF,0.1976753086831401,0.3158582772502306,0.63292272,0.06513199,0.38323754,0.00405124,0.38212895,0.62574522
13,TVSD,MODEL_A,layer3-0,V1,monkeyN,0.1977493966611076,0.3410938350736105,0.69596748,0.07054884,0.45885046,0.00471535,0.39092337,0.71919706
14,TVSD,MODEL_A,layer3-0,V4,monkeyF,0.2134879976317863,0.2580558252606343,0.69851896,0.07121657,0.46277709,0.0048082,0.56794177,0.71053576
15,TVSD,MODEL_A,layer3-0,V4,monkeyN,0.2498913377502161,0.3038836308697802,0.68103028,0.06960265,0.43556704,0.00454587,0.52597255,0.66236923
16,TVSD,MODEL_A,layer3-0,IT,monkeyF,0.2638129563598365,0.2316327083701028,0.60892321,0.06310392,0.35933986,0.00385542,0.5026286,0.53174864
17,TVSD,MODEL_A,layer3-0,IT,monkeyN,0.1703824616320798,0.1257731279463091,0.65091673,0.06657875,0.40497575,0.00423158,0.46884915,0.58182198
18,TVSD,MODEL_A,layer3-5,V1,monkeyF,0.1331383058544602,0.2226095086848194,0.63274399,0.06513188,0.36496432,0.0038632,0.38226168,0.58678301
19,TVSD,MODEL_A,layer3-5,V1,monkeyN,0.1298693620572903,0.2426993556451044,0.68918993,0.06985956,0.42890289,0.00440726,0.37064957,0.68406781
20,TVSD,MODEL_A,layer3-5,V4,monkeyF,0.1732491679664382,0.228970728361698,0.60637619,0.06180972,0.22049444,0.00229212,0.38855457,0.56420362
21,TVSD,MODEL_A,layer3-5,V4,monkeyN,0.1952397684626025,0.277789182149562,0.71442516,0.07303441,0.47803413,0.00499627,0.57467253,0.69252488
22,TVSD,MODEL_A,layer3-5,IT,monkeyF,0.2397753522894529,0.2469753217969286,0.65289244,0.06769511,0.4042174,0.00434677,0.5655255,0.59430833
23,TVSD,MODEL_A,layer3-5,IT,monkeyN,0.1552196096777349,0.1548457241747099,0.69249806,0.07086108,0.45940814,0.00480821,0.52450845,0.63959639
24,TVSD,MODEL_A,layer3-10,V1,monkeyF,0.0949235314547081,0.1619334001156084,0.60729881,0.06249821,0.33526811,0.00354666,0.35056448,0.5552051
25,TVSD,MODEL_A,layer3-10,V1,monkeyN,0.0996128287802708,0.1705470110770679,0.67535594,0.06845885,0.3960394,0.00406991,0.31658732,0.65358972
26,TVSD,MODEL_A,layer3-10,V4,monkeyF,0.1704752899619823,0.2157619384034405,0.59589552,0.06073599,0.22752811,0.00236526,0.3560624,0.5551595
27,TVSD,MODEL_A,layer3-10,V4,monkeyN,0.1839970296066288,0.2487704931905985,0.71153726,0.07272262,0.47678301,0.00498019,0.56789364,0.69421945
28,TVSD,MODEL_A,layer3-10,IT,monkeyF,0.2548489442326727,0.264576580010808,0.6744768,0.06990918,0.42926481,0.00461079,0.6032336,0.62426684
29,TVSD,MODEL_A,layer3-10,IT,monkeyN,0.1408186039730193,0.1651580326689511,0.70818153,0.07245843,0.48538445,0.00507869,0.52286174,0.68271023
30,TVSD,MODEL_A,layer3-15,V1,monkeyF,0.0703523973393303,0.1383606861564613,0.59068717,0.0607826,0.32157379,0.00340118,0.30410177,0.51914708
31,TVSD,MODEL_A,layer3-15,V1,monkeyN,0.0710240426719517,0.1416647801920771,0.65503022,0.06640115,0.38461696,0.00395276,0.30747547,0.61543847
32,TVSD,MODEL_A,layer3-15,V4,monkeyF,0.128979256088668,0.1858820023273132,0.59725134,0.06086912,0.22561893,0.00234625,0.33019466,0.51930754
33,TVSD,MODEL_A,layer3-15,V4,monkeyN,0.1453849152037079,0.2260977017411181,0.70721131,0.07228198,0.47758212,0.00498938,0.55084663,0.68601434
34,TVSD,MODEL_A,layer3-15,IT,monkeyF,0.2319846126962829,0.2739660199067451,0.58261086,0.06040823,0.20349032,0.00219272,0.4348742,0.51801478
35,TVSD,MODEL_A,layer3-15,IT,monkeyN,0.1350642531307817,0.1849034757279893,0.66090862,0.06765788,0.28221059,0.00296218,0.37974419,0.63803042
36,TVSD,MODEL_A,layer3-20,V1,monkeyF,0.0719004009271944,0.1289925109199698,0.5774069,0.05941385,0.30754529,0.00325164,0.3019175,0.50312876
37,TVSD,MODEL_A,layer3-20,V1,monkeyN,0.0725823613981478,0.1306148961335573,0.64482546,0.06536326,0.36494807,0.00374994,0.27238276,0.60376802
38,TVSD,MODEL_A,layer3-20,V4,monkeyF,0.1325189927968101,0.1937135103562833,0.59912227,0.06107728,0.23934144,0.00249096,0.37271989,0.5346948
39,TVSD,MODEL_A,layer3-20,V4,monkeyN,0.1504575119608671,0.23462396364639,0.69418144,0.07094292,0.468012,0.00488839,0.53238896,0.66363906
40,TVSD,MODEL_A,layer3-20,IT,monkeyF,0.2393665124574114,0.2927675367080765,0.69535296,0.07209019,0.46416976,0.00498803,0.64856296,0.68401786
41,TVSD,MODEL_A,layer3-20,IT,monkeyN,0.1366242991266838,0.1918770696071269,0.66224662,0.06778679,0.29447493,0.00309018,0.37370507,0.64304277
42,TVSD,MODEL_A,layer3-25,V1,monkeyF,0.0672758989714774,0.1243524537899181,0.56799986,0.05843215,0.29557386,0.00312417,0.29982309,0.50529959
