model,layer,dataset,subject,roi,best_alpha,val_loss
MODEL_A,layer1-0,TVSD,monkeyF,IT,0.001,2.25245856
MODEL_A,layer1-0,TVSD,monkeyF,IT,0.001,1.32174431
MODEL_A,layer1-0,TVSD,monkeyF,IT,1e-05,0.18159386
MODEL_A,layer1-0,TVSD,monkeyN,IT,1e-05,0.22328945
MODEL_A,layer2-0,TVSD,monkeyF,IT,1e-05,0.17858068
MODEL_A,layer2-0,TVSD,monkeyN,IT,1e-05,0.20733349
MODEL_A,layer3-0,TVSD,monkeyF,IT,1e-05,0.17485143
MODEL_A,layer3-0,TVSD,monkeyN,IT,1e-05,0.19557357
MODEL_A,layer3-5,TVSD,monkeyF,IT,1e-05,0.17432773
MODEL_A,layer3-5,TVSD,monkeyN,IT,1e-05,0.1899359
MODEL_A,layer3-10,TVSD,monkeyF,IT,1e-05,0.17635523
MODEL_A,layer3-10,TVSD,monkeyN,IT,1e-05,0.18925549
MODEL_A,layer3-15,TVSD,monkeyF,IT,1e-05,0.17531605
MODEL_A,layer3-15,TVSD,monkeyN,IT,1e-05,0.19296167
MODEL_A,layer3-20,TVSD,monkeyF,IT,1e-05,0.17387014
MODEL_A,layer3-20,TVSD,monkeyN,IT,1e-05,0.18966625
MODEL_A,layer3-25,TVSD,monkeyF,IT,1e-05,0.17477231
MODEL_A,layer3-25,TVSD,monkeyN,IT,1e-05,0.1863429
MODEL_A,layer3-30,TVSD,monkeyF,IT,1e-05,0.17444743
MODEL_A,layer3-30,TVSD,monkeyN,IT,1e-05,0.18832941
MODEL_A,layer4-1,TVSD,monkeyF,IT,1e-05,0.17543973
MODEL_A,layer4-1,TVSD,monkeyN,IT,1e-05,0.18813948
MODEL_B,language_model-layers-3,TVSD,monkeyF,IT,1e-05,0.18877005
MODEL_B,language_model-layers-3,TVSD,monkeyN,IT,1e-05,0.23517164
MODEL_B,language_model-layers-8,TVSD,monkeyF,IT,1e-05,0.18834558
MODEL_B,language_model-layers-8,TVSD,monkeyN,IT,1e-05,0.23486943
MODEL_B,language_model-layers-11,TVSD,monkeyF,IT,1e-05,0.18780626
MODEL_B,language_model-layers-11,TVSD,monkeyN,IT,1e-05,0.23989896
MODEL_B,language_model-layers-16,TVSD,monkeyF,IT,1e-05,0.18755854
MODEL_B,language_model-layers-16,TVSD,monkeyN,IT,1e-05,0.23531754
MODEL_B,visual-blocks-2,TVSD,monkeyF,IT,1e-05,0.18067148
MODEL_B,visual-blocks-2,TVSD,monkeyN,IT,1e-05,0.20664156
MODEL_B,visual-blocks-6,TVSD,monkeyF,IT,1e-05,0.17673066
MODEL_B,visual-blocks-6,TVSD,monkeyN,IT,1e-05,0.19816564
MODEL_B,visual-blocks-10,TVSD,monkeyF,IT,1e-05,0.17787388
MODEL_B,visual-blocks-10,TVSD,monkeyN,IT,1e-05,0.19316811
MODEL_B,visual-blocks-14,TVSD,monkeyF,IT,1e-05,0.17756051
MODEL_B,visual-blocks-14,TVSD,monkeyN,IT,1e-05,0.19253872
MODEL_B,visual-blocks-18,TVSD,monkeyF,IT,1e-05,0.17796031
MODEL_B,visual-blocks-18,TVSD,monkeyN,IT,1e-05,0.1968464
MODEL_B,visual-blocks-22,TVSD,monkeyF,IT,1e-05,0.17889577
MODEL_B,visual-blocks-22,TVSD,monkeyN,IT,1e-05,0.19449634
