dataset,subject,region,model,layer,alpha,val_pearson,pearson,explained_variance,encoding_rsa,encoding_cka,nc_pearson,nc_explained_variance
TVSD,monkeyF,IT,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer1-0,0.1,0.16522176400016456,0.24985778547336787,-1.4623785226671528,0.2594411498660408,0.21749158817547326,,
TVSD,monkeyF,IT,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer2-0,0.0001,0.19864054604568443,0.316540381117192,-1.6817158460617065,0.314396059295211,0.342532121318402,,
TVSD,monkeyF,IT,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer3-0,0.0001,0.25211848954513694,0.3506805226222529,-1.7965241274893036,0.39316012638696,0.402225748813074,,
TVSD,monkeyF,IT,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer3-10,0.01,0.24785956312871502,0.3849570650964425,-2.479396316767728,0.4216673130014826,0.42227667985159845,,
TVSD,monkeyF,IT,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer3-15,0.001,0.2458417147218438,0.3952902657288666,-2.412821561469082,0.46728669514917875,0.4862672964089933,,
TVSD,monkeyF,IT,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer3-20,0.001,0.2463826487744804,0.3656574408615418,-2.4893989263728447,0.4199194340927998,0.4083684044438707,,
TVSD,monkeyF,IT,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer3-25,0.1,0.24638869400953306,0.3783167595900206,-2.5307210300473257,0.499989962656462,0.43855363251243545,,
TVSD,monkeyF,IT,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer3-30,0.01,0.2469943932858371,0.4030511289607619,-2.581276850828986,0.419734987847566,0.4945925277435061,,
TVSD,monkeyF,IT,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer3-5,0.01,0.2418459545730409,0.3973939210932496,-2.2790714044788567,0.3916072738193567,0.4249934628225336,,
TVSD,monkeyF,IT,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer4-1,0.01,0.2515420988567254,0.39647415995992785,-2.209520288028163,0.3910086100345779,0.41440017589445,,
