dataset,subject,region,model,layer,alpha,val_pearson,pearson,explained_variance,encoding_rsa,encoding_cka,nc_pearson,nc_explained_variance
TVSD,monkeyF,V1,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer1-0,0.0001,0.3551476235073592,0.5668754504394512,-0.6178046746171398,0.6208943020774156,0.7516273423078034,,
TVSD,monkeyF,V1,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer3-20,0.001,0.26829074470343156,0.3621216053358222,-2.5018133050177522,0.2841725638851874,0.5217049596210901,,
TVSD,monkeyF,V1,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer4-1,0.001,0.20733447842344646,0.3052173733069336,-2.4827987322043548,0.1980401967335757,0.39545534556660156,,
TVSD,monkeyF,V1,Qwen3-VL-2B-Instruct/,language_model-layers-11,0.0001,0.16448607357801248,0.22227457873009826,-3.1233700854437694,0.0747977647652852,0.19998289080411896,,
TVSD,monkeyF,V1,Qwen3-VL-2B-Instruct/,visual-blocks-14,0.0001,0.2554171146835513,0.37931077795696805,-1.1210668715305658,0.2262778463634433,0.5351511061165033,,
TVSD,monkeyF,V1,Qwen3-VL-2B-Instruct/,visual-blocks-6,0.001,0.35388136714439394,0.5160682972173882,-0.5099430771875175,0.5019012057801643,0.6911070178412926,,
TVSD,monkeyN,V1,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer1-0,0.0001,0.5065593637161233,0.6492215665887074,0.030204163126869115,0.5931102989894534,0.7603894701640298,,
TVSD,monkeyN,V1,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer3-20,0.001,0.374379131613251,0.4782735197648208,-1.1272013127394618,0.29856997841631405,0.6146868906209937,,
TVSD,monkeyN,V1,adv_resnet152_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/,layer4-1,0.0001,0.29680897400729345,0.38449142604791925,-1.246138122179961,0.1515228877204927,0.4467913891483227,,
TVSD,monkeyN,V1,Qwen3-VL-2B-Instruct/,language_model-layers-11,0.0001,0.25675023286461107,0.3048675818504768,-1.4641774284485003,0.1033794401579573,0.26899095935680783,,
TVSD,monkeyN,V1,Qwen3-VL-2B-Instruct/,visual-blocks-14,0.001,0.338785090694594,0.4360743150220419,-0.40012928250179686,0.18041382195837294,0.5698342684782424,,
TVSD,monkeyN,V1,Qwen3-VL-2B-Instruct/,visual-blocks-6,0.001,0.4923032267575933,0.6075405539008039,0.07736159230260609,0.4844721884378924,0.7962320740825118,,
