model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka
MODEL_A,layer1-0,TVSD,monkeyF,IT,0.27630292,0.02871704,0.08495313,0.00092118,0.09090257,0.23656748
MODEL_A,layer1-0,TVSD,monkeyF,V4,0.49383565,0.05043431,0.25086352,0.00262084,0.31858386,0.56230156
MODEL_A,layer1-0,TVSD,monkeyF,V1,0.64093277,0.06610372,0.43569023,0.00463534,0.48706343,0.85583188
MODEL_A,layer1-0,TVSD,monkeyN,IT,0.38348655,0.03923563,0.14826962,0.00155065,0.23088066,0.24536908
MODEL_A,layer1-0,TVSD,monkeyN,V4,0.46763627,0.04780854,0.19390525,0.00202815,0.30067614,0.52922654
MODEL_A,layer1-0,TVSD,monkeyN,V1,0.70611466,0.07159319,0.51303295,0.00527376,0.47237827,0.86094145
MODEL_A,layer2-0,TVSD,monkeyF,IT,0.45067844,0.0467916,0.22009309,0.00237206,0.36513446,0.40260409
MODEL_A,layer2-0,TVSD,monkeyF,V4,0.61953996,0.06322084,0.38985523,0.00406057,0.50067417,0.70577003
MODEL_A,layer2-0,TVSD,monkeyF,V1,0.75499339,0.07779548,0.57402495,0.00609062,0.73165886,0.91592034
MODEL_A,layer2-0,TVSD,monkeyN,IT,0.56034513,0.05740221,0.3070422,0.00322007,0.29476012,0.4808187
MODEL_A,layer2-0,TVSD,monkeyN,V4,0.60813407,0.06222011,0.38714044,0.00405216,0.56862139,0.74731515
MODEL_A,layer2-0,TVSD,monkeyN,V1,0.79397781,0.08049172,0.63526898,0.00652692,0.67923476,0.90854644
MODEL_A,layer3-0,TVSD,monkeyF,IT,0.62492503,0.06485192,0.39842558,0.00428786,0.60682344,0.63016872
MODEL_A,layer3-0,TVSD,monkeyF,V4,0.68668401,0.07007492,0.47179014,0.00491491,0.62431919,0.78272332
MODEL_A,layer3-0,TVSD,monkeyF,V1,0.75339646,0.07760724,0.56681657,0.00600524,0.70348543,0.86845726
MODEL_A,layer3-0,TVSD,monkeyN,IT,0.69281709,0.07094146,0.48202122,0.00504861,0.5177954,0.68059079
MODEL_A,layer3-0,TVSD,monkeyN,V4,0.70979514,0.07259939,0.50908119,0.00532434,0.71791682,0.8035949
MODEL_A,layer3-0,TVSD,monkeyN,V1,0.77805476,0.07888278,0.61203277,0.00628952,0.58750284,0.87068947
MODEL_A,layer3-5,TVSD,monkeyF,IT,0.5701759,0.05918917,0.35373429,0.00381258,0.56829202,0.64544671
MODEL_A,layer3-5,TVSD,monkeyF,V4,0.67572598,0.06894961,0.4628786,0.00481952,0.62536075,0.78182774
MODEL_A,layer3-5,TVSD,monkeyF,V1,0.71022981,0.07316262,0.50717737,0.00537471,0.59438369,0.84838172
MODEL_A,layer3-5,TVSD,monkeyN,IT,0.70036994,0.0717048,0.50028643,0.00524046,0.48174466,0.74662924
MODEL_A,layer3-5,TVSD,monkeyN,V4,0.69053019,0.07062675,0.4860681,0.00508381,0.69854808,0.80827194
MODEL_A,layer3-5,TVSD,monkeyN,V1,0.75142587,0.07617501,0.57200246,0.00587586,0.4867382,0.86277491
MODEL_A,layer3-10,TVSD,monkeyF,IT,0.50054691,0.05195564,0.280616,0.00302405,0.45752472,0.57073205
MODEL_A,layer3-10,TVSD,monkeyF,V4,0.64138005,0.06547157,0.42286886,0.00440998,0.58802568,0.79546167
MODEL_A,layer3-10,TVSD,monkeyF,V1,0.61135079,0.06300517,0.3820548,0.00405477,0.41599017,0.77037883
MODEL_A,layer3-10,TVSD,monkeyN,IT,0.72362259,0.07410403,0.52856375,0.00554014,0.52375235,0.77457001
MODEL_A,layer3-10,TVSD,monkeyN,V4,0.63876051,0.06536875,0.42863213,0.00449249,0.61078408,0.79161425
MODEL_A,layer3-10,TVSD,monkeyN,V1,0.70724049,0.07169952,0.5119493,0.00526017,0.39232076,0.85522051
MODEL_A,layer3-15,TVSD,monkeyF,IT,0.56991841,0.05915736,0.35051181,0.00377628,0.57322847,0.67610113
MODEL_A,layer3-15,TVSD,monkeyF,V4,0.66229172,0.06757291,0.44704557,0.00465337,0.60557631,0.7733092
MODEL_A,layer3-15,TVSD,monkeyF,V1,0.64444403,0.06638987,0.42230706,0.00447698,0.482219,0.78369245
MODEL_A,layer3-15,TVSD,monkeyN,IT,0.74197579,0.07595479,0.54756317,0.00572249,0.58425822,0.81474329
MODEL_A,layer3-15,TVSD,monkeyN,V4,0.66469517,0.06800091,0.4555826,0.00476985,0.64800617,0.7913899
MODEL_A,layer3-15,TVSD,monkeyN,V1,0.69137654,0.07008639,0.49110029,0.00504482,0.41049326,0.81804183
MODEL_A,layer3-20,TVSD,monkeyF,IT,0.59683493,0.0619377,0.38563521,0.00415391,0.6263298,0.71086165
MODEL_A,layer3-20,TVSD,monkeyF,V4,0.62486297,0.06375073,0.40322173,0.00419568,0.57774302,0.75256834
MODEL_A,layer3-20,TVSD,monkeyF,V1,0.67358311,0.06938384,0.45673816,0.00483935,0.50509798,0.75611624
MODEL_A,layer3-20,TVSD,monkeyN,IT,0.73843442,0.07563145,0.5403597,0.0056574,0.540706,0.80076744
MODEL_A,layer3-20,TVSD,monkeyN,V4,0.63485592,0.06494662,0.42254913,0.00442368,0.58057523,0.75672622
MODEL_A,layer3-20,TVSD,monkeyN,V1,0.70785918,0.07175279,0.51098224,0.00524777,0.4024045,0.84311613
MODEL_A,layer3-25,TVSD,monkeyF,IT,0.62599885,0.06498342,0.40944506,0.00441296,0.61905166,0.74028622
MODEL_A,layer3-25,TVSD,monkeyF,V4,0.67674449,0.06902798,0.46393704,0.00482357,0.62595701,0.75940071
MODEL_A,layer3-25,TVSD,monkeyF,V1,0.63403371,0.06530283,0.40675905,0.00430745,0.43780818,0.75900937
MODEL_A,layer3-25,TVSD,monkeyN,IT,0.74421369,0.07621758,0.56185237,0.0058906,0.5420443,0.81880056
MODEL_A,layer3-25,TVSD,monkeyN,V4,0.66148466,0.06767106,0.45658797,0.00478141,0.61213706,0.76700133
MODEL_A,layer3-25,TVSD,monkeyN,V1,0.69620663,0.07057104,0.4922668,0.0050552,0.40443647,0.82224656
MODEL_A,layer3-30,TVSD,monkeyF,IT,0.61422272,0.06372715,0.3931501,0.00422728,0.62829725,0.7167772
MODEL_A,layer3-30,TVSD,monkeyF,V4,0.64873544,0.06617731,0.42370993,0.00440677,0.58985887,0.74132288
MODEL_A,layer3-30,TVSD,monkeyF,V1,0.59518875,0.06133251,0.3631957,0.00385288,0.34410861,0.71054428
MODEL_A,layer3-30,TVSD,monkeyN,IT,0.73818422,0.07557293,0.54468029,0.00569345,0.51916622,0.81061859
MODEL_A,layer3-30,TVSD,monkeyN,V4,0.67077116,0.06861354,0.46567083,0.0048733,0.603702,0.76366222
MODEL_A,layer3-30,TVSD,monkeyN,V1,0.6703515,0.06794059,0.45675837,0.00468826,0.35366865,0.80883953
MODEL_A,layer4-1,TVSD,monkeyF,IT,0.63230868,0.06557279,0.39206801,0.00420099,0.60858857,0.67327013
MODEL_A,layer4-1,TVSD,monkeyF,V4,0.60744515,0.06195405,0.36897024,0.00383551,0.47266547,0.6024504
