model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,rsa,cka
MODEL_A,layer1-0,TVSD,monkeyF,IT,0.2534738,0.02636214,0.09566565,0.00103442,0.17710767,0.22332282
MODEL_A,layer1-0,TVSD,monkeyN,IT,0.40816341,0.04183063,0.15906835,0.0016659,0.08545787,0.29138643
MODEL_A,layer2-0,TVSD,monkeyF,IT,0.36770214,0.03822181,0.16064415,0.00173938,0.23190604,0.34659379
MODEL_A,layer2-0,TVSD,monkeyN,IT,0.48656343,0.04980233,0.24208631,0.00252722,0.28489866,0.4318167
MODEL_A,layer3-0,TVSD,monkeyF,IT,0.44787659,0.04655054,0.23471768,0.00254106,0.38800815,0.49569997
MODEL_A,layer3-0,TVSD,monkeyN,IT,0.5986282,0.06129681,0.37582044,0.00393361,0.38811009,0.67357766
MODEL_A,layer3-5,TVSD,monkeyF,IT,0.46873446,0.04871941,0.25367882,0.00274656,0.36181574,0.54008556
MODEL_A,layer3-5,TVSD,monkeyN,IT,0.62456186,0.06396921,0.40616787,0.00425523,0.33827904,0.71771335
MODEL_A,layer3-10,TVSD,monkeyF,IT,0.42795129,0.04447565,0.21126144,0.00228961,0.31738791,0.49082382
MODEL_A,layer3-10,TVSD,monkeyN,IT,0.62739685,0.06424833,0.42317236,0.00443288,0.36069576,0.74078763
MODEL_A,layer3-15,TVSD,monkeyF,IT,0.45132461,0.04689327,0.23494403,0.00253991,0.31594427,0.56057752
MODEL_A,layer3-15,TVSD,monkeyN,IT,0.64741062,0.0662892,0.44638978,0.00467473,0.36801876,0.78334685
MODEL_A,layer3-20,TVSD,monkeyF,IT,0.48064611,0.04993492,0.24601972,0.00265669,0.35567005,0.5879878
MODEL_A,layer3-20,TVSD,monkeyN,IT,0.64472483,0.06603744,0.44066625,0.00462108,0.35645305,0.76433781
MODEL_A,layer3-25,TVSD,monkeyF,IT,0.47148144,0.04898516,0.25385313,0.00274731,0.33220684,0.58408288
MODEL_A,layer3-25,TVSD,monkeyN,IT,0.64769759,0.06634139,0.44522083,0.00466693,0.35680221,0.76218957
MODEL_A,layer3-30,TVSD,monkeyF,IT,0.4788162,0.04973532,0.25684285,0.00277668,0.37169704,0.58525136
MODEL_A,layer3-30,TVSD,monkeyN,IT,0.63028735,0.06457898,0.42701286,0.00448256,0.33554268,0.72619664
MODEL_A,layer4-1,TVSD,monkeyF,IT,0.46705384,0.04849731,0.23921684,0.00258163,0.39346632,0.53652258
MODEL_A,layer4-1,TVSD,monkeyN,IT,0.63694144,0.06522566,0.43183189,0.00452066,0.34986257,0.7529893
MODEL_B,language_model-layers-3,TVSD,monkeyF,IT,0.1015592,0.01045057,2e-08,0.0,0.06967286,0.0
MODEL_B,language_model-layers-3,TVSD,monkeyN,IT,0.15119537,0.01560459,8e-08,0.0,0.01457286,0.0
MODEL_B,language_model-layers-8,TVSD,monkeyF,IT,0.25661869,0.02660228,2e-08,0.0,0.125098,0.0
MODEL_B,language_model-layers-8,TVSD,monkeyN,IT,0.12280245,0.01271581,3.43e-06,4e-08,0.10453341,7.83e-06
MODEL_B,language_model-layers-11,TVSD,monkeyF,IT,0.00865898,0.0007826,-3e-08,-0.0,0.12787809,0.0
MODEL_B,language_model-layers-11,TVSD,monkeyN,IT,-0.2126066,-0.02181266,-5.1e-07,-1e-08,0.04324325,4e-08
MODEL_B,language_model-layers-16,TVSD,monkeyF,IT,0.02863822,0.00294065,-2e-08,-0.0,0.0263024,0.0
MODEL_B,language_model-layers-16,TVSD,monkeyN,IT,-0.3552285,-0.03649757,-2.8e-07,-0.0,0.10568394,1e-08
MODEL_B,visual-blocks-2,TVSD,monkeyF,IT,0.33266783,0.03460895,0.14678602,0.0015918,0.18261495,0.37056828
MODEL_B,visual-blocks-2,TVSD,monkeyN,IT,0.53226173,0.05452517,0.30901271,0.00324176,0.24501852,0.55499958
MODEL_B,visual-blocks-6,TVSD,monkeyF,IT,0.42961141,0.04466397,0.21763534,0.00235844,0.33190565,0.4894993
MODEL_B,visual-blocks-6,TVSD,monkeyN,IT,0.59407519,0.06086466,0.383896,0.00402869,0.28999793,0.66787221
MODEL_B,visual-blocks-10,TVSD,monkeyF,IT,0.384264,0.0399143,0.18380322,0.00198538,0.29378125,0.46552154
MODEL_B,visual-blocks-10,TVSD,monkeyN,IT,0.59454484,0.0609129,0.39360354,0.00413126,0.26450565,0.68677769
MODEL_B,visual-blocks-14,TVSD,monkeyF,IT,0.37610417,0.03907635,0.17759114,0.00192171,0.20880165,0.49684164
MODEL_B,visual-blocks-14,TVSD,monkeyN,IT,0.60682753,0.06215359,0.40562386,0.00425571,0.32610415,0.72009594
MODEL_B,visual-blocks-18,TVSD,monkeyF,IT,0.37443942,0.03890545,0.1713934,0.00185213,0.24713174,0.49111838
MODEL_B,visual-blocks-18,TVSD,monkeyN,IT,0.58424327,0.0598471,0.38082621,0.00399688,0.2666561,0.67599113
MODEL_B,visual-blocks-22,TVSD,monkeyF,IT,0.40085287,0.04165222,0.18868218,0.00203939,0.21591952,0.49334708
MODEL_B,visual-blocks-22,TVSD,monkeyN,IT,0.60369451,0.06181824,0.39857693,0.00417188,0.30889666,0.70963194
