model,layer,dataset,subject,roi,dim,pearson_r,pearson_r_nc,ev,ev_nc
MODEL_A,layer1-0,TVSD,monkeyF,IT,0,0.18699676,0.01893745,0.03433352,0.00035212
MODEL_A,layer1-0,TVSD,monkeyF,IT,1,-0.13556385,-0.01377185,-0.00509382,-5.257e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,2,0.15564143,0.01576202,0.00336905,3.455e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,3,0.03656169,0.0037144,0.00115955,1.197e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,4,0.12508499,0.01287253,0.01292484,0.00013688
MODEL_A,layer1-0,TVSD,monkeyF,IT,5,0.15616998,0.01647713,0.01767782,0.00019679
MODEL_A,layer1-0,TVSD,monkeyF,IT,6,0.07356447,0.00755328,0.00541164,5.705e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,7,0.19174573,0.02043146,0.03662364,0.00041582
MODEL_A,layer1-0,TVSD,monkeyF,IT,8,0.07820743,0.00797674,0.00427009,4.442e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,9,0.07370259,0.0074936,0.0023932,2.474e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,10,0.0553959,0.00561265,0.00167831,1.723e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,11,0.035129,0.00356277,0.00093122,9.58e-06
MODEL_A,layer1-0,TVSD,monkeyF,IT,12,0.14319522,0.01454413,0.0204722,0.00021119
MODEL_A,layer1-0,TVSD,monkeyF,IT,13,0.23521879,0.02434478,0.03514467,0.00037647
MODEL_A,layer1-0,TVSD,monkeyF,IT,14,0.23497122,0.02508118,0.03497016,0.00039844
MODEL_A,layer1-0,TVSD,monkeyF,IT,15,0.5482703,0.05901668,0.25886167,0.00299936
MODEL_A,layer1-0,TVSD,monkeyF,IT,16,-0.12692852,-0.01306274,-0.00297001,-3.146e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,17,0.00316001,0.00033062,-0.00048465,-5.31e-06
MODEL_A,layer1-0,TVSD,monkeyF,IT,18,0.13348324,0.0135752,0.00820236,8.484e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,19,0.24127593,0.02451466,0.01801224,0.00018595
MODEL_A,layer1-0,TVSD,monkeyF,IT,20,0.15715524,0.01591023,0.01479361,0.00015162
MODEL_A,layer1-0,TVSD,monkeyF,IT,21,0.35445333,0.03669203,0.0341836,0.00036631
MODEL_A,layer1-0,TVSD,monkeyF,IT,22,0.36828604,0.03797972,0.02165841,0.00023033
MODEL_A,layer1-0,TVSD,monkeyF,IT,23,0.35342732,0.03852958,0.1249071,0.00148448
MODEL_A,layer1-0,TVSD,monkeyF,IT,24,-0.02398995,-0.00246402,-0.00211532,-2.232e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,25,0.10243861,0.01033247,0.00846916,8.616e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,26,0.06001518,0.00605177,-0.00166591,-1.694e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,27,0.14265403,0.01466569,0.01434732,0.00015164
MODEL_A,layer1-0,TVSD,monkeyF,IT,28,0.13493591,0.01384146,0.01165506,0.00012264
MODEL_A,layer1-0,TVSD,monkeyF,IT,29,0.14054849,0.01455865,0.0118818,0.00012749
MODEL_A,layer1-0,TVSD,monkeyF,IT,30,0.44966895,0.04864463,0.19640564,0.00229847
MODEL_A,layer1-0,TVSD,monkeyF,IT,31,-0.00262266,-0.00026474,-0.00113871,-1.16e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,32,-0.00282107,-0.00028513,-0.00368467,-3.764e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,33,0.07145898,0.00720612,0.00509514,5.181e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,34,0.17763789,0.01795005,0.00722369,7.376e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,35,0.21610666,0.02235111,0.01412513,0.0001511
MODEL_A,layer1-0,TVSD,monkeyF,IT,36,0.13508099,0.01411888,0.01195554,0.00013061
MODEL_A,layer1-0,TVSD,monkeyF,IT,37,0.50637831,0.05296073,0.25142461,0.00275021
MODEL_A,layer1-0,TVSD,monkeyF,IT,38,0.03984348,0.00407143,0.00060536,6.32e-06
MODEL_A,layer1-0,TVSD,monkeyF,IT,39,0.06026039,0.00606036,0.00100979,1.021e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,40,0.07467932,0.00756506,0.00498385,5.114e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,41,0.02522837,0.00265604,0.00031024,3.44e-06
MODEL_A,layer1-0,TVSD,monkeyF,IT,42,0.30218877,0.03264521,0.089428,0.00104365
MODEL_A,layer1-0,TVSD,monkeyF,IT,43,0.39204183,0.04036163,0.12586489,0.00133407
MODEL_A,layer1-0,TVSD,monkeyF,IT,44,0.02108909,0.00213633,-0.0011805,-1.211e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,45,-0.05264157,-0.00531736,-0.00296722,-3.028e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,46,0.16062426,0.01811503,0.02423875,0.00030829
MODEL_A,layer1-0,TVSD,monkeyF,IT,47,-0.0385355,-0.00397064,-0.00537614,-5.708e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,48,-0.0537994,-0.00551346,-0.00932253,-9.791e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,49,0.2449691,0.02545628,0.03838249,0.00041448
MODEL_A,layer1-0,TVSD,monkeyF,IT,50,0.1490369,0.01516212,0.02066862,0.00021392
MODEL_A,layer1-0,TVSD,monkeyF,IT,51,0.05101352,0.00515851,0.00250495,2.561e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,52,0.06213769,0.0065772,0.00384272,4.305e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,53,0.21116881,0.02184105,0.03778135,0.00040417
MODEL_A,layer1-0,TVSD,monkeyF,IT,54,0.07442245,0.00767239,0.00175696,1.867e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,55,-0.03348338,-0.00341485,-0.01227338,-0.00012766
MODEL_A,layer1-0,TVSD,monkeyF,IT,56,0.24617284,0.02495399,0.0213724,0.00021961
MODEL_A,layer1-0,TVSD,monkeyF,IT,57,0.25097799,0.02538651,0.02699221,0.00027617
MODEL_A,layer1-0,TVSD,monkeyF,IT,58,0.16627476,0.01718645,0.0274494,0.00029326
MODEL_A,layer1-0,TVSD,monkeyF,IT,59,0.20102512,0.02037231,0.04019652,0.00041283
MODEL_A,layer1-0,TVSD,monkeyF,IT,60,0.16928432,0.01713219,0.02862174,0.00029315
MODEL_A,layer1-0,TVSD,monkeyF,IT,61,0.17896262,0.01798237,0.02945672,0.00029741
MODEL_A,layer1-0,TVSD,monkeyF,IT,62,0.09865314,0.00996452,0.00376067,3.837e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,63,0.15491134,0.01558349,0.02184953,0.00022111
MODEL_A,layer1-0,TVSD,monkeyF,IT,64,0.16197381,0.01641658,0.02562959,0.00026328
MODEL_A,layer1-0,TVSD,monkeyF,IT,65,0.10443209,0.01055363,0.00684971,6.995e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,66,0.28268322,0.02869912,0.07491377,0.00077214
MODEL_A,layer1-0,TVSD,monkeyF,IT,67,0.20809887,0.02110195,0.04330267,0.00044527
MODEL_A,layer1-0,TVSD,monkeyF,IT,68,0.22267525,0.02277526,0.04949066,0.00051773
MODEL_A,layer1-0,TVSD,monkeyF,IT,69,0.20885766,0.02208895,0.04358319,0.00048749
MODEL_A,layer1-0,TVSD,monkeyF,IT,70,0.20251976,0.02096636,0.03805029,0.00040782
MODEL_A,layer1-0,TVSD,monkeyF,IT,71,0.08467546,0.00865876,0.00497824,5.206e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,72,0.22126809,0.02234489,0.04626999,0.00047187
MODEL_A,layer1-0,TVSD,monkeyF,IT,73,0.13785489,0.01384332,0.01767384,0.00017822
MODEL_A,layer1-0,TVSD,monkeyF,IT,74,0.3957044,0.04052034,0.15535326,0.00162901
MODEL_A,layer1-0,TVSD,monkeyF,IT,75,0.31120625,0.03313969,0.09646804,0.00109392
MODEL_A,layer1-0,TVSD,monkeyF,IT,76,0.25242312,0.02718339,0.06043961,0.00070092
MODEL_A,layer1-0,TVSD,monkeyF,IT,77,0.18746474,0.01947541,0.03311169,0.00035737
MODEL_A,layer1-0,TVSD,monkeyF,IT,78,0.21413358,0.02248151,0.04574074,0.00050418
MODEL_A,layer1-0,TVSD,monkeyF,IT,79,0.11192079,0.01124621,0.01227669,0.00012396
MODEL_A,layer1-0,TVSD,monkeyF,IT,80,0.3751115,0.03807024,0.13664214,0.00140746
MODEL_A,layer1-0,TVSD,monkeyF,IT,81,0.38627881,0.04029709,0.14901704,0.00162174
MODEL_A,layer1-0,TVSD,monkeyF,IT,82,0.2291666,0.02434027,0.05239603,0.00059108
