dataset,model,layer,roi,subject,rsa,cka
EEG2,MODEL_A,layer1-0,occipital,sub-01,0.06374124654387955,0.12436309289909073
EEG2,MODEL_A,layer1-0,occipital,sub-02,0.1527898195018573,0.10437128032134477
EEG2,MODEL_A,layer1-0,occipital,sub-03,0.09851186678124164,0.23328371699187334
EEG2,MODEL_A,layer1-0,occipital,sub-04,0.12055337154739279,0.09510882396998951
EEG2,MODEL_A,layer1-0,occipital,sub-05,0.1732093441509796,0.2277381903494744
EEG2,MODEL_A,layer1-0,occipital,sub-06,0.03778357588857054,0.2036920749332843
EEG2,MODEL_A,layer1-0,occipital,sub-07,0.09118407912172198,0.19150696661537023
EEG2,MODEL_A,layer1-0,occipital,sub-08,0.16363928178865864,0.18101778830141263
EEG2,MODEL_A,layer1-0,occipital,sub-09,0.1805328240313462,0.07556473331104215
EEG2,MODEL_A,layer1-0,occipital,sub-10,0.04478074756539913,0.19629264621683926
EEG2,MODEL_A,layer1-0,parietal,sub-01,0.0359523072811408,5.1889183163502265e-06
EEG2,MODEL_A,layer1-0,parietal,sub-02,0.03069869890840837,0.042603246708213104
EEG2,MODEL_A,layer1-0,parietal,sub-03,0.023680464239741322,0.10121531642224676
EEG2,MODEL_A,layer1-0,parietal,sub-04,0.05527741042020035,0.010844008074553246
EEG2,MODEL_A,layer1-0,parietal,sub-05,0.13832386857707707,0.15187279933465891
EEG2,MODEL_A,layer1-0,parietal,sub-06,0.03701495283246839,0.11102376164484709
EEG2,MODEL_A,layer1-0,parietal,sub-07,0.05771326753975097,0.10038788962765914
EEG2,MODEL_A,layer1-0,parietal,sub-08,0.06221981821104897,0.09664514098105711
EEG2,MODEL_A,layer1-0,parietal,sub-09,0.04028190376665655,0.03668164772923771
EEG2,MODEL_A,layer1-0,parietal,sub-10,0.0029636215535108522,0.10809772507827739
EEG2,MODEL_A,layer1-0,temporal,sub-01,-0.002635382037386257,0.03857289620867182
EEG2,MODEL_A,layer1-0,temporal,sub-02,0.059862567456010006,0.03260129707087078
EEG2,MODEL_A,layer1-0,temporal,sub-03,-0.03735022106102206,0.05062740585128286
EEG2,MODEL_A,layer1-0,temporal,sub-04,-0.0010863644011855763,0.025261958739179496
EEG2,MODEL_A,layer1-0,temporal,sub-05,-0.044889319611529206,0.026566334212274882
EEG2,MODEL_A,layer1-0,temporal,sub-06,0.03042829789226975,0.06891666629832495
EEG2,MODEL_A,layer1-0,temporal,sub-07,-0.013655354478985868,0.05135322656805004
EEG2,MODEL_A,layer1-0,temporal,sub-08,0.04028476765048784,0.04354785761323589
EEG2,MODEL_A,layer1-0,temporal,sub-09,0.0615072116832735,0.02077117819106509
EEG2,MODEL_A,layer1-0,temporal,sub-10,-0.006211837128575576,0.04233773966200736
EEG2,MODEL_A,layer1-0,frontal,sub-01,-0.02797328934065398,0.015561413163064485
EEG2,MODEL_A,layer1-0,frontal,sub-02,-0.06507867409254875,0.019272986364642298
EEG2,MODEL_A,layer1-0,frontal,sub-03,0.002275959944833077,0.027026188086073495
EEG2,MODEL_A,layer1-0,frontal,sub-04,0.004106630400775618,0.007542086981689642
EEG2,MODEL_A,layer1-0,frontal,sub-05,-0.06235034716279459,0.012665277930328072
EEG2,MODEL_A,layer1-0,frontal,sub-06,0.027248750979240302,0.04618418672432886
EEG2,MODEL_A,layer1-0,frontal,sub-07,-0.06517821961161156,0.04564260112460323
EEG2,MODEL_A,layer1-0,frontal,sub-08,0.10252493932964311,0.034898682996607186
EEG2,MODEL_A,layer1-0,frontal,sub-09,-0.01690537824046332,0.00461836275259948
EEG2,MODEL_A,layer1-0,frontal,sub-10,-0.0324802041979748,0.006572440573447883
EEG2,MODEL_A,layer1-0,central,sub-01,0.054821723027266366,0.004635041734700664
EEG2,MODEL_A,layer1-0,central,sub-02,0.011852240641080656,0.017145224968527398
EEG2,MODEL_A,layer1-0,central,sub-03,-0.012423248930598122,0.005984699856789335
EEG2,MODEL_A,layer1-0,central,sub-04,0.05958157784017096,0.027234946349566105
EEG2,MODEL_A,layer1-0,central,sub-05,0.038612292213369134,0.09028434856904821
EEG2,MODEL_A,layer1-0,central,sub-06,0.012037232944290266,0.05864023591253572
EEG2,MODEL_A,layer1-0,central,sub-07,0.054289216960329456,0.048328424472563504
EEG2,MODEL_A,layer1-0,central,sub-08,0.03284278988964817,0.04777120051048612
EEG2,MODEL_A,layer1-0,central,sub-09,0.00440013690324336,0.009560252561017174
EEG2,MODEL_A,layer1-0,central,sub-10,0.030864323760947616,0.05274414914003868
EEG2,MODEL_A,layer1-0,occipital_parietal,sub-01,0.040006175118937386,0.0029401691990503724
EEG2,MODEL_A,layer1-0,occipital_parietal,sub-02,0.06158929396275929,0.057934160155554554
EEG2,MODEL_A,layer1-0,occipital_parietal,sub-03,0.04679634751206695,0.14155119945691833
EEG2,MODEL_A,layer1-0,occipital_parietal,sub-04,0.059558149558581415,0.01582954046662831
EEG2,MODEL_A,layer1-0,occipital_parietal,sub-05,0.15157042764189008,0.17787370427644233
EEG2,MODEL_A,layer1-0,occipital_parietal,sub-06,0.037527739165868226,0.13661617680466745
EEG2,MODEL_A,layer1-0,occipital_parietal,sub-07,0.07195122733383964,0.13884778525269434
EEG2,MODEL_A,layer1-0,occipital_parietal,sub-08,0.09195371313143566,0.12275162405053006
EEG2,MODEL_A,layer1-0,occipital_parietal,sub-09,0.07547627994039258,0.047147581012397445
EEG2,MODEL_A,layer1-0,occipital_parietal,sub-10,0.011221901232040336,0.13476498811038512
EEG2,MODEL_A,layer1-0,whole_brain,sub-01,0.05953903620534769,0.005231028002335923
EEG2,MODEL_A,layer1-0,whole_brain,sub-02,0.021273537938339887,0.03011341378869902
EEG2,MODEL_A,layer1-0,whole_brain,sub-03,0.0033403697077434534,0.09563087391422483
EEG2,MODEL_A,layer1-0,whole_brain,sub-04,0.08364628959861567,0.01756008409422602
EEG2,MODEL_A,layer1-0,whole_brain,sub-05,0.030753417347081487,0.13423026502291313
EEG2,MODEL_A,layer1-0,whole_brain,sub-06,0.03572428329761649,0.1176036903269169
EEG2,MODEL_A,layer1-0,whole_brain,sub-07,0.04869284006723188,0.12363285109156608
EEG2,MODEL_A,layer1-0,whole_brain,sub-08,0.10395438941693293,0.10096624964692544
EEG2,MODEL_A,layer1-0,whole_brain,sub-09,0.028651865712006425,0.03425760388552839
EEG2,MODEL_A,layer1-0,whole_brain,sub-10,-0.05392942299045993,0.10191646420353612
EEG2,MODEL_A,layer2-0,occipital,sub-01,0.11239148077659963,0.150926197327098
EEG2,MODEL_A,layer2-0,occipital,sub-02,0.1792057760256796,0.12408581544806478
EEG2,MODEL_A,layer2-0,occipital,sub-03,0.15726757604563116,0.26093831096053355
EEG2,MODEL_A,layer2-0,occipital,sub-04,0.18497890998908587,0.1153317328943961
EEG2,MODEL_A,layer2-0,occipital,sub-05,0.2002496203820252,0.2755829072414708
EEG2,MODEL_A,layer2-0,occipital,sub-06,0.1272003220414192,0.2506835595746127
EEG2,MODEL_A,layer2-0,occipital,sub-07,0.13849094880173066,0.24372159609753355
EEG2,MODEL_A,layer2-0,occipital,sub-08,0.1915139683533102,0.20591936890669946
EEG2,MODEL_A,layer2-0,occipital,sub-09,0.20091491268953116,0.09038355774159881
EEG2,MODEL_A,layer2-0,occipital,sub-10,0.12136926606254782,0.21921539795876588
EEG2,MODEL_A,layer2-0,parietal,sub-01,0.05389593934528697,0.00034264725285666753
EEG2,MODEL_A,layer2-0,parietal,sub-02,0.07893560022313258,0.053324586854755454
EEG2,MODEL_A,layer2-0,parietal,sub-03,0.06857086894949993,0.11278224844332806
EEG2,MODEL_A,layer2-0,parietal,sub-04,0.08504644213573412,0.011198228277495035
EEG2,MODEL_A,layer2-0,parietal,sub-05,0.15522236605630169,0.18098720176244407
EEG2,MODEL_A,layer2-0,parietal,sub-06,0.09932769185852762,0.14794171266622883
EEG2,MODEL_A,layer2-0,parietal,sub-07,0.09244048225973248,0.1246262125432381
EEG2,MODEL_A,layer2-0,parietal,sub-08,0.09723353601356284,0.10865925443525117
EEG2,MODEL_A,layer2-0,parietal,sub-09,0.08354316980403508,0.045051391421233364
EEG2,MODEL_A,layer2-0,parietal,sub-10,0.07890015669901654,0.1220606125213299
