dataset,model,layer,roi,subject,rsa,cka
NSD,MODEL_A,layer1-0,V1v,subj01,0.11673343838795519,0.31235441869470415
NSD,MODEL_A,layer1-0,V1v,subj02,0.08818616135259721,0.2995849212340686
NSD,MODEL_A,layer1-0,V1v,subj03,0.08405313255277383,0.2508518358779066
NSD,MODEL_A,layer1-0,V1v,subj04,0.10548993273717668,0.25354944762588644
NSD,MODEL_A,layer1-0,V1v,subj05,0.08524950133246809,0.3286814148399815
NSD,MODEL_A,layer1-0,V1v,subj06,0.09597756196564713,0.27721694604473346
NSD,MODEL_A,layer1-0,V1v,subj07,0.08152224843384145,0.21965148839954854
NSD,MODEL_A,layer1-0,V1v,subj08,0.09077819026609867,0.26833858211753203
NSD,MODEL_A,layer1-0,V2v,subj01,0.06867732296175096,0.21970217042451615
NSD,MODEL_A,layer1-0,V2v,subj02,0.07276025985899692,0.20318107903485869
NSD,MODEL_A,layer1-0,V2v,subj03,0.07066966004533005,0.2071625940412313
NSD,MODEL_A,layer1-0,V2v,subj04,0.07560660583365203,0.2022098406396003
NSD,MODEL_A,layer1-0,V2v,subj05,0.07032350202967992,0.2790605995809374
NSD,MODEL_A,layer1-0,V2v,subj06,0.06271331594873504,0.2199153301060153
NSD,MODEL_A,layer1-0,V2v,subj07,0.06357343630278249,0.18424283849246267
NSD,MODEL_A,layer1-0,V2v,subj08,0.06410101683897014,0.20971904117816484
NSD,MODEL_A,layer1-0,V3v,subj01,0.06561137925085078,0.16093794912914816
NSD,MODEL_A,layer1-0,V3v,subj02,0.03550992434322355,0.15787902889839706
NSD,MODEL_A,layer1-0,V3v,subj03,0.04008028493962837,0.11322896972481572
NSD,MODEL_A,layer1-0,V3v,subj04,0.04118449279659518,0.0965314925607974
NSD,MODEL_A,layer1-0,V3v,subj05,0.04511876865560056,0.1715888875487971
NSD,MODEL_A,layer1-0,V3v,subj06,0.038492591339531715,0.12695164754951105
NSD,MODEL_A,layer1-0,V3v,subj07,0.041983471498788394,0.09715613435781448
NSD,MODEL_A,layer1-0,V3v,subj08,0.04111426700259033,0.12676702933877138
NSD,MODEL_A,layer1-0,hV4,subj01,0.06890876247567747,0.14176044073695387
NSD,MODEL_A,layer1-0,hV4,subj02,0.03218746202603261,0.12712127591457117
NSD,MODEL_A,layer1-0,hV4,subj03,0.040786147854433366,0.09943671544549618
NSD,MODEL_A,layer1-0,hV4,subj04,0.026668533378309964,0.06210947993078214
NSD,MODEL_A,layer1-0,hV4,subj05,0.045010899700791945,0.12032624216803427
NSD,MODEL_A,layer1-0,hV4,subj06,0.0353628616512522,0.06640037020200082
NSD,MODEL_A,layer1-0,hV4,subj07,0.03781861784846398,0.08367905079785444
NSD,MODEL_A,layer1-0,hV4,subj08,0.05291915470733208,0.1291010758526183
NSD,MODEL_A,layer1-0,FFA-1,subj01,0.039027507584186286,0.045926339026143924
NSD,MODEL_A,layer1-0,FFA-1,subj02,0.028547921943194738,0.050348047721752484
NSD,MODEL_A,layer1-0,FFA-1,subj03,0.03599084029371424,0.04143935897174023
NSD,MODEL_A,layer1-0,FFA-1,subj04,0.025708147178339486,0.03456761591751467
NSD,MODEL_A,layer1-0,FFA-1,subj05,0.0384142559259548,0.04740009340677094
NSD,MODEL_A,layer1-0,FFA-1,subj06,0.02519940892941121,0.021106047603197113
NSD,MODEL_A,layer1-0,FFA-1,subj07,0.021316820677539684,0.0267298492446822
NSD,MODEL_A,layer1-0,FFA-1,subj08,0.03616320797748032,0.048716621665647934
NSD,MODEL_A,layer1-0,VWFA-1,subj01,0.024748321593075735,0.040627649641306496
NSD,MODEL_A,layer1-0,VWFA-1,subj02,0.030038487376774257,0.04135095427697259
NSD,MODEL_A,layer1-0,VWFA-1,subj03,0.03549851491726155,0.030327126192175546
NSD,MODEL_A,layer1-0,VWFA-1,subj04,0.027251055702997184,0.019161868356839164
NSD,MODEL_A,layer1-0,VWFA-1,subj05,0.04228259549150795,0.04788962499028145
NSD,MODEL_A,layer1-0,VWFA-1,subj06,0.024964944772267145,0.02139796715417525
NSD,MODEL_A,layer1-0,VWFA-1,subj07,0.05232542228669097,0.06291094388341499
NSD,MODEL_A,layer1-0,VWFA-1,subj08,0.017771432512239595,0.01898126059327805
NSD,MODEL_A,layer1-0,PPA,subj01,0.06434808132165246,0.04195443716889293
NSD,MODEL_A,layer1-0,PPA,subj02,0.05790431546342947,0.04390125356045371
NSD,MODEL_A,layer1-0,PPA,subj03,0.05148351689986039,0.03608281126181961
NSD,MODEL_A,layer1-0,PPA,subj04,0.028202389070826964,0.03346290918799196
NSD,MODEL_A,layer1-0,PPA,subj05,0.0551546586118151,0.05360515129038517
NSD,MODEL_A,layer1-0,PPA,subj06,0.0492109938686663,0.034442619934277004
NSD,MODEL_A,layer1-0,PPA,subj07,0.051244875328894136,0.028492411861336567
