dataset,model,layer,roi,subject,rsa,cka
TVSD,MODEL_A,layer1-0,V1,monkeyF,0.10795887222719112,0.3311481649353862
TVSD,MODEL_A,layer1-0,V1,monkeyN,0.10090949177110958,0.3512152476190358
TVSD,MODEL_A,layer1-0,V4,monkeyF,0.06973402083426575,0.15033617326354648
TVSD,MODEL_A,layer1-0,V4,monkeyN,0.10115831913036025,0.21116248549881605
TVSD,MODEL_A,layer1-0,IT,monkeyF,0.07051888811237356,0.1411867710745419
TVSD,MODEL_A,layer1-0,IT,monkeyN,0.042328981590445486,0.05330530184749911
TVSD,MODEL_A,layer2-0,V1,monkeyF,0.18920888894317317,0.34721783998881617
TVSD,MODEL_A,layer2-0,V1,monkeyN,0.18981773123210696,0.37672630812568786
TVSD,MODEL_A,layer2-0,V4,monkeyF,0.13418295408079875,0.17827817925159914
TVSD,MODEL_A,layer2-0,V4,monkeyN,0.1963011074292809,0.2605206612854536
TVSD,MODEL_A,layer2-0,IT,monkeyF,0.1622908227120883,0.1689720674823778
TVSD,MODEL_A,layer2-0,IT,monkeyN,0.11354735927015838,0.07184043602375802
TVSD,MODEL_A,layer3-0,V1,monkeyF,0.19767530868314012,0.31585827725023063
TVSD,MODEL_A,layer3-0,V1,monkeyN,0.1977493966611076,0.3410938350736105
TVSD,MODEL_A,layer3-0,V4,monkeyF,0.21348799763178636,0.25805582526063436
TVSD,MODEL_A,layer3-0,V4,monkeyN,0.24989133775021613,0.3038836308697802
TVSD,MODEL_A,layer3-0,IT,monkeyF,0.2638129563598365,0.23163270837010283
TVSD,MODEL_A,layer3-0,IT,monkeyN,0.17038246163207985,0.12577312794630915
TVSD,MODEL_A,layer3-5,V1,monkeyF,0.13313830585446024,0.22260950868481946
TVSD,MODEL_A,layer3-5,V1,monkeyN,0.1298693620572903,0.2426993556451044
TVSD,MODEL_A,layer3-5,V4,monkeyF,0.17324916796643822,0.22897072836169807
TVSD,MODEL_A,layer3-5,V4,monkeyN,0.19523976846260255,0.27778918214956205
TVSD,MODEL_A,layer3-5,IT,monkeyF,0.23977535228945296,0.2469753217969286
TVSD,MODEL_A,layer3-5,IT,monkeyN,0.15521960967773493,0.15484572417470996
TVSD,MODEL_A,layer3-10,V1,monkeyF,0.09492353145470811,0.16193340011560847
TVSD,MODEL_A,layer3-10,V1,monkeyN,0.09961282878027082,0.17054701107706793
TVSD,MODEL_A,layer3-10,V4,monkeyF,0.1704752899619823,0.2157619384034405
TVSD,MODEL_A,layer3-10,V4,monkeyN,0.1839970296066288,0.2487704931905985
TVSD,MODEL_A,layer3-10,IT,monkeyF,0.25484894423267274,0.264576580010808
