dataset,model,layer,roi,subject,rsa,cka
TVSD,MODEL_A,layer1-0,V1,monkeyF,0.1079588722271911,0.3311481649353862
TVSD,MODEL_A,layer1-0,V1,monkeyN,0.1009094917711095,0.3512152476190358
TVSD,MODEL_A,layer1-0,V4,monkeyF,0.0697340208342657,0.1503361732635464
TVSD,MODEL_A,layer1-0,V4,monkeyN,0.1011583191303602,0.211162485498816
TVSD,MODEL_A,layer1-0,IT,monkeyF,0.0705188881123735,0.1411867710745419
TVSD,MODEL_A,layer1-0,IT,monkeyN,0.0423289815904454,0.0533053018474991
TVSD,MODEL_A,layer2-0,V1,monkeyF,0.1892088889431731,0.3472178399888161
TVSD,MODEL_A,layer2-0,V1,monkeyN,0.1898177312321069,0.3767263081256878
TVSD,MODEL_A,layer2-0,V4,monkeyF,0.1341829540807987,0.1782781792515991
TVSD,MODEL_A,layer2-0,V4,monkeyN,0.1963011074292809,0.2605206612854536
TVSD,MODEL_A,layer2-0,IT,monkeyF,0.1622908227120883,0.1689720674823778
TVSD,MODEL_A,layer2-0,IT,monkeyN,0.1135473592701583,0.071840436023758
TVSD,MODEL_A,layer3-0,V1,monkeyF,0.1976753086831401,0.3158582772502306
TVSD,MODEL_A,layer3-0,V1,monkeyN,0.1977493966611076,0.3410938350736105
TVSD,MODEL_A,layer3-0,V4,monkeyF,0.2134879976317863,0.2580558252606343
TVSD,MODEL_A,layer3-0,V4,monkeyN,0.2498913377502161,0.3038836308697802
TVSD,MODEL_A,layer3-0,IT,monkeyF,0.2638129563598365,0.2316327083701028
TVSD,MODEL_A,layer3-0,IT,monkeyN,0.1703824616320798,0.1257731279463091
TVSD,MODEL_A,layer3-5,V1,monkeyF,0.1331383058544602,0.2226095086848194
TVSD,MODEL_A,layer3-5,V1,monkeyN,0.1298693620572903,0.2426993556451044
TVSD,MODEL_A,layer3-5,V4,monkeyF,0.1732491679664382,0.228970728361698
TVSD,MODEL_A,layer3-5,V4,monkeyN,0.1952397684626025,0.277789182149562
TVSD,MODEL_A,layer3-5,IT,monkeyF,0.2397753522894529,0.2469753217969286
TVSD,MODEL_A,layer3-5,IT,monkeyN,0.1552196096777349,0.1548457241747099
TVSD,MODEL_A,layer3-10,V1,monkeyF,0.0949235314547081,0.1619334001156084
TVSD,MODEL_A,layer3-10,V1,monkeyN,0.0996128287802708,0.1705470110770679
TVSD,MODEL_A,layer3-10,V4,monkeyF,0.1704752899619823,0.2157619384034405
TVSD,MODEL_A,layer3-10,V4,monkeyN,0.1839970296066288,0.2487704931905985
TVSD,MODEL_A,layer3-10,IT,monkeyF,0.2548489442326727,0.264576580010808
TVSD,MODEL_A,layer3-10,IT,monkeyN,0.1408186039730193,0.1651580326689511
TVSD,MODEL_A,layer3-15,V1,monkeyF,0.0703523973393303,0.1383606861564613
TVSD,MODEL_A,layer3-15,V1,monkeyN,0.0710240426719517,0.1416647801920771
TVSD,MODEL_A,layer3-15,V4,monkeyF,0.128979256088668,0.1858820023273132
TVSD,MODEL_A,layer3-15,V4,monkeyN,0.1453849152037079,0.2260977017411181
TVSD,MODEL_A,layer3-15,IT,monkeyF,0.2319846126962829,0.2739660199067451
TVSD,MODEL_A,layer3-15,IT,monkeyN,0.1350642531307817,0.1849034757279893
TVSD,MODEL_A,layer3-20,V1,monkeyF,0.0719004009271944,0.1289925109199698
TVSD,MODEL_A,layer3-20,V1,monkeyN,0.0725823613981478,0.1306148961335573
TVSD,MODEL_A,layer3-20,V4,monkeyF,0.1325189927968101,0.1937135103562833
TVSD,MODEL_A,layer3-20,V4,monkeyN,0.1504575119608671,0.23462396364639
TVSD,MODEL_A,layer3-20,IT,monkeyF,0.2393665124574114,0.2927675367080765
TVSD,MODEL_A,layer3-20,IT,monkeyN,0.1366242991266838,0.1918770696071269
TVSD,MODEL_A,layer3-25,V1,monkeyF,0.0672758989714774,0.1243524537899181
TVSD,MODEL_A,layer3-25,V1,monkeyN,0.0655113419865929,0.1246946490410879
TVSD,MODEL_A,layer3-25,V4,monkeyF,0.1219583393712146,0.191061401588301
TVSD,MODEL_A,layer3-25,V4,monkeyN,0.1366653566580488,0.2298316947817236
TVSD,MODEL_A,layer3-25,IT,monkeyF,0.2458428457118647,0.3005114228669607
TVSD,MODEL_A,layer3-25,IT,monkeyN,0.141171815886035,0.2032003690304516
TVSD,MODEL_A,layer3-30,V1,monkeyF,0.0736060042716706,0.1413424194510432
TVSD,MODEL_A,layer3-30,V1,monkeyN,0.0729379725716956,0.1402059935971459
TVSD,MODEL_A,layer3-30,V4,monkeyF,0.1230252061352203,0.1909472892534691
TVSD,MODEL_A,layer3-30,V4,monkeyN,0.1391299427718112,0.2265061111639617
TVSD,MODEL_A,layer3-30,IT,monkeyF,0.2361501371016,0.2782550694623918
TVSD,MODEL_A,layer3-30,IT,monkeyN,0.137713566079587,0.1783851184945922
TVSD,MODEL_A,layer4-1,V1,monkeyF,0.0854992292579601,0.1053460695664844
TVSD,MODEL_A,layer4-1,V1,monkeyN,0.0721540161221427,0.1050272195464758
TVSD,MODEL_A,layer4-1,V4,monkeyF,0.1495837993232173,0.1558259554755985
TVSD,MODEL_A,layer4-1,V4,monkeyN,0.156927199510993,0.183491576706169
TVSD,MODEL_A,layer4-1,IT,monkeyF,0.2904719902119766,0.2699735307896845
TVSD,MODEL_A,layer4-1,IT,monkeyN,0.1559955381520781,0.1574618394992834
TVSD,MODEL_B,language_model-layers-3,V1,monkeyF,0.0338923109001818,0.0424951788509237
TVSD,MODEL_B,language_model-layers-3,V1,monkeyN,0.039000805937584,0.0568621276795475
TVSD,MODEL_B,language_model-layers-3,V4,monkeyF,0.0518397813342643,0.0981496345874006
TVSD,MODEL_B,language_model-layers-3,V4,monkeyN,0.0515683611527035,0.1137083427992358
TVSD,MODEL_B,language_model-layers-3,IT,monkeyF,0.0841684029737933,0.1647142091665312
TVSD,MODEL_B,language_model-layers-3,IT,monkeyN,0.0509401640043228,0.0865017670267095
TVSD,MODEL_B,language_model-layers-8,V1,monkeyF,0.0336316458368123,0.0474099126720557
TVSD,MODEL_B,language_model-layers-8,V1,monkeyN,0.0415997060198437,0.0646948115602851
TVSD,MODEL_B,language_model-layers-8,V4,monkeyF,0.0538546939826237,0.0925137544927972
TVSD,MODEL_B,language_model-layers-8,V4,monkeyN,0.0565009809939398,0.1088677495050048
TVSD,MODEL_B,language_model-layers-8,IT,monkeyF,0.0964147079879731,0.1640933030960243
TVSD,MODEL_B,language_model-layers-8,IT,monkeyN,0.0601303018359907,0.0819992332853784
TVSD,MODEL_B,language_model-layers-11,V1,monkeyF,0.0200448470520694,0.0374685312694823
TVSD,MODEL_B,language_model-layers-11,V1,monkeyN,0.0293642424972343,0.0539684209305776
TVSD,MODEL_B,language_model-layers-11,V4,monkeyF,0.052825267060855,0.0970576517409281
TVSD,MODEL_B,language_model-layers-11,V4,monkeyN,0.054851182965361,0.1088102230363728
TVSD,MODEL_B,language_model-layers-11,IT,monkeyF,0.0909316927348116,0.1670714743281069
TVSD,MODEL_B,language_model-layers-11,IT,monkeyN,0.0514419913584398,0.0906022897216107
TVSD,MODEL_B,language_model-layers-16,V1,monkeyF,0.0226188280681579,0.0427111842366204
TVSD,MODEL_B,language_model-layers-16,V1,monkeyN,0.024896724009723,0.0561627700966739
TVSD,MODEL_B,language_model-layers-16,V4,monkeyF,0.0606424998329823,0.0851648603226005
TVSD,MODEL_B,language_model-layers-16,V4,monkeyN,0.0612422264159729,0.0964159077711891
TVSD,MODEL_B,language_model-layers-16,IT,monkeyF,0.0918926503015554,0.1487091159684402
TVSD,MODEL_B,language_model-layers-16,IT,monkeyN,0.0473888157656527,0.0756905447276208
TVSD,MODEL_B,visual-blocks-2,V1,monkeyF,0.123793108712064,0.1787569164161085
TVSD,MODEL_B,visual-blocks-2,V1,monkeyN,0.081532971701203,0.1386306482078299
TVSD,MODEL_B,visual-blocks-2,V4,monkeyF,0.0447916385998015,0.0735374823418968
TVSD,MODEL_B,visual-blocks-2,V4,monkeyN,0.0464570756516292,0.0675005486094194
TVSD,MODEL_B,visual-blocks-2,IT,monkeyF,0.0760454741346747,0.0786637346343334
TVSD,MODEL_B,visual-blocks-2,IT,monkeyN,0.0452536734512201,0.0232672414959381
TVSD,MODEL_B,visual-blocks-6,V1,monkeyF,0.1295507358063948,0.1731066242218888
TVSD,MODEL_B,visual-blocks-6,V1,monkeyN,0.0813851361929172,0.1239761538525358
TVSD,MODEL_B,visual-blocks-6,V4,monkeyF,0.0675186711907766,0.0894732624586844
TVSD,MODEL_B,visual-blocks-6,V4,monkeyN,0.0620884826086638,0.0788059843110083
TVSD,MODEL_B,visual-blocks-6,IT,monkeyF,0.1080483845316917,0.0971039681483574
TVSD,MODEL_B,visual-blocks-6,IT,monkeyN,0.0512479853709219,0.0394784254227067
TVSD,MODEL_B,visual-blocks-10,V1,monkeyF,0.0925079242906709,0.0497135195920588
TVSD,MODEL_B,visual-blocks-10,V1,monkeyN,0.0403642514796205,0.0135579047756539
TVSD,MODEL_B,visual-blocks-10,V4,monkeyF,0.0355964681583925,0.0098806158566805
TVSD,MODEL_B,visual-blocks-10,V4,monkeyN,0.040579617910513,0.008767429997329
TVSD,MODEL_B,visual-blocks-10,IT,monkeyF,0.0816784050797381,0.0132416247785246
TVSD,MODEL_B,visual-blocks-10,IT,monkeyN,0.0354700100119781,-0.0046213490589765
TVSD,MODEL_B,visual-blocks-14,V1,monkeyF,0.0637810430781947,0.0321124160313541
TVSD,MODEL_B,visual-blocks-14,V1,monkeyN,0.0305409091191684,0.0011069392646564
TVSD,MODEL_B,visual-blocks-14,V4,monkeyF,0.0361481231573624,0.0050264764834008
TVSD,MODEL_B,visual-blocks-14,V4,monkeyN,0.0387090356734138,0.0075614482738863
TVSD,MODEL_B,visual-blocks-14,IT,monkeyF,0.097130590045307,0.0118942157213418
TVSD,MODEL_B,visual-blocks-14,IT,monkeyN,0.0407688253769667,0.0004499191492736
TVSD,MODEL_B,visual-blocks-18,V1,monkeyF,0.0567494320897759,0.0347562282441111
TVSD,MODEL_B,visual-blocks-18,V1,monkeyN,0.0337700519049221,0.0059237488591034
TVSD,MODEL_B,visual-blocks-18,V4,monkeyF,0.0413857701418598,0.010452895857433
TVSD,MODEL_B,visual-blocks-18,V4,monkeyN,0.0492522546373739,0.017256832609926
TVSD,MODEL_B,visual-blocks-18,IT,monkeyF,0.108595243483062,0.0282916456168766
TVSD,MODEL_B,visual-blocks-18,IT,monkeyN,0.0525729062092067,0.0103015857835971
TVSD,MODEL_B,visual-blocks-22,V1,monkeyF,0.0472883427485943,0.0393554059566275
TVSD,MODEL_B,visual-blocks-22,V1,monkeyN,0.0348245443219584,0.0158949322592186
TVSD,MODEL_B,visual-blocks-22,V4,monkeyF,0.06372658659194,0.028981125360365
TVSD,MODEL_B,visual-blocks-22,V4,monkeyN,0.0725726675940896,0.042370527196814
TVSD,MODEL_B,visual-blocks-22,IT,monkeyF,0.1134186789632676,0.067532132485657
TVSD,MODEL_B,visual-blocks-22,IT,monkeyN,0.0595103478542282,0.0309974881047773
